"";"nrow1";"nrow2";"size1";"size2";"lv_schema";"cos_schema";"lv_tab";"cos_tab";"col1";"col2";"dist_nrow";"dist_lastused";"dist_size";"decisao"
"99";0;5571;2048;4608;6;0,552786404500042;18;0,903626115069515;7440;38073;3939,29187799026;1382400;1810,19335983756;0
"100";151;5571;2048;4608;7;0,841886116991581;12;0,358311052080252;1143;38073;3832,51875403109;0;1810,19335983756;0
"101";13560372;5571;2862080;4608;7;0,552786404500042;13;0,611942999941867;21063;38073;9584691,7047342;0;2020537,82825069;0
"102";0;5571;1024;4608;7;0,552786404500042;10;0,494278262575826;48314;38073;3939,29187799026;22204800;2534,27070377259;0
"103";10;5571;2048;4608;6;0,552786404500042;14;0,495121835702599;4525;38073;3932,22081017839;0;1810,19335983756;0
"104";13;5571;2048;4608;9;0,432225026042331;9;0,579915974791597;3726;38073;3930,09948983483;3801600;1810,19335983756;0
"105";0;5571;2048;4608;9;0,432225026042331;21;0,659360226517804;4881;38073;3939,29187799026;3801600;1810,19335983756;0
"106";123454;5571;11776;4608;6;0,552786404500042;18;0,522334852778774;7272;38073;83355,8686866138;0;5068,54140754517;0
"107";0;5571;2048;4608;6;0,552786404500042;21;0,710114482173776;12035;38073;3939,29187799026;0;1810,19335983756;0
"108";94707;5571;10240;4608;7;0,841886116991581;16;0,666851697673615;8505;38073;63028,6700478441;6480000;3982,42539164264;0
"109";1;5571;2048;4608;7;0,841886116991581;12;0,184427580750352;1323;38073;3938,58477120907;4752000;1810,19335983756;0
"110";29;5571;1024;4608;7;0,552786404500042;13;0,433711105570258;10670;38073;3918,78578133585;0;2534,27070377259;0
"111";59961;5571;10240;4608;7;0,683772233983162;13;0,439887966388796;57096;38073;38459,5378287363;172800;3982,42539164264;0
"112";3;5571;2048;4608;7;0,841886116991581;12;0,334487735353838;5415;38073;3937,1705576467;0;1810,19335983756;0
"113";5592;5571;1024;4608;7;0,683772233983162;3;0,0486970116910117;16750;38073;14,8492424049175;11059200;2534,27070377259;0
"114";854;5571;1280;4608;7;0,552786404500042;18;0,574854538890976;12134;38073;3335,42268685694;86400;2353,25136778883;0
"115";6621;5571;2048;4608;9;0,432225026042331;10;0,625649351136534;5930;38073;742,462120245875;172800;1810,19335983756;0
"116";58;5571;1024;4608;8;0,558058261758408;10;0,477271789757161;16850;38073;3898,27968468144;172800;2534,27070377259;0
"117";17;5571;2048;4608;7;0,683772233983162;15;0,267073734881954;13502;38073;3927,27106271009;172800;1810,19335983756;0
