"";"acesso1";"acesso2";"qtdtabelas1";"qtdtabelas2";"tamgb1";"tamgb2";"qtdlinhas1";"qtdlinhas2";"qtdcolunas1";"qtdcolunas2";"lv_tabelas";"cos_tabelas";"jac_tabelas";"lv_schtab";"cos_schtab";"jac_schtab";"decisao";"id_schema"
"398";6;0;7;1;108,1806641;0,001464844;183421331;16910;346;2;81;0,453912626588729;0,578947368421053;87;0,385988010002582;0,5;0;398
"402";6;0;7;9;108,1806641;0,006225586;183421331;27941;346;41;78;0,273080376750056;0,318181818181818;82;0,287124125561611;0,318181818181818;0;402
"403";6;1;7;16;108,1806641;0,014648438;183421331;0;346;67;148;0,103351060659922;0,25;151;0,086763513179808;0,25;0;403
"404";6;0;7;26;108,1806641;0,06628418;183421331;25074;346;222;284;0,0999935345321832;0,227272727272727;288;0,0959190006208102;0,181818181818182;0;404
"411";6;0;7;2;108,1806641;0;183421331;129840424;346;187;72;0,0573587829172101;0,368421052631579;72;0,0434957911182099;0,263157894736842;0;411
"412";6;2;7;7;108,1806641;0,011474609;183421331;62646;346;108;65;0,178151415803219;0,15;73;0,167551341781164;0,15;0;412
"422";0;37;3;37;0,005859375;0,096191406;0;267565;234;225;546;0,123008563365536;0,363636363636364;548;0,0955579638223149;0,304347826086957;0;422
"429";0;67;3;70;0,005859375;0,798095703;0;3218891;234;397;1135;0,111431761496674;0,416666666666667;1141;0,0867472851455966;0,36;0;429
"430";0;131;3;137;0,005859375;36,85131836;0;158644947;234;957;2554;0,129022179944981;0,44;2563;0,079395007456547;0,384615384615385;0;430
"433";0;21;3;23;0,005859375;0,0859375;0;111;234;125;277;0,0844652271189046;0,363636363636364;282;0,0769988798715324;0,304347826086957;0;433
"445";0;0;3;2;0,005859375;0,002685547;0;18940;234;11;29;0,323007101959465;0,375;36;0,359536200246049;0,473684210526316;0;445
"451";0;2;3;10;0,005859375;0,009277344;0;3608;234;48;111;0,127991335693385;0,333333333333333;113;0,125832744765068;0,272727272727273;0;451
"457";0;21;3;22;0,005859375;0,544921875;0;1976882;234;182;318;0,173898755166221;0,391304347826087;319;0,169021828166468;0,333333333333333;0;457
"469";0;0;3;3;0,005859375;70,88671875;0;128962977;234;234;0;0;0;0;0;0;1;469
"471";0;203;3;451;0,005859375;3229,061768;0;12469817823;234;4621;8373;0,124987246816926;0,481481481481482;8371;0,101935163546264;0,428571428571429;0;471
"476";0;1;3;55;0,005859375;222,0068359;0;1232589939;234;1506;916;0,166511917159575;0,416666666666667;917;0,149697285948736;0,36;0;476
"483";0;0;3;1;0,005859375;0,000244141;0;48;234;6;31;0,470299590077708;0,6875;36;0,333676004477364;0,5;0;483
"487";0;1;3;16;0,005859375;0,014648438;0;0;234;67;170;0,152443180975898;0,391304347826087;168;0,109283688123631;0,333333333333333;0;487
"488";0;0;3;26;0,005859375;0,06628418;0;25074;234;222;319;0,119683867984511;0,3;324;0,130923888151551;0,272727272727273;0;488
"489";0;60;3;233;0,005859375;23,05102539;0;75866302;234;1791;3822;0,102995370157252;0,481481481481482;3828;0,0912599078941079;0,428571428571429;0;489
"512";21;42;23;43;25,47961426;1,466552734;191401724;8037560;266;385;437;0,0550775712026955;0,230769230769231;439;0,0527484952865782;0,230769230769231;0;512
"520";21;0;23;1;25,47961426;0,000976563;191401724;0;266;5;271;0,272062459840173;0,545454545454545;274;0,15837653663911;0,409090909090909;0;520
"521";21;0;23;23;25,47961426;0,024414063;191401724;1160;266;134;227;0,0719844738151544;0,0869565217391305;236;0,0659642730463883;0,0869565217391305;0;521
"523";21;4;23;15;25,47961426;6,963623047;191401724;26432122;266;151;217;0,0945802774571376;0,166666666666667;225;0,0883871947998219;0,166666666666667;0;523
"526";21;0;23;34;25,47961426;0,13671875;191401724;26741;266;204;404;0,0892064698847937;0,130434782608696;403;0,0820993464803121;0,130434782608696;0;526
"528";21;0;23;8;25,47961426;0,0078125;191401724;0;266;37;217;0,133644780441207;0,260869565217391;228;0,138636251436781;0,217391304347826;0;528
"531";21;0;23;15;25,47961426;1,53515625;191401724;13208944;266;254;208;0,084763761425497;0,2;216;0,0757404306324725;0,2;0;531
"534";21;4;23;33;25,47961426;3,3203125;191401724;7064804;266;227;341;0,123111623591058;0,2;342;0,115040009533984;0,2;0;534
"536";21;2;23;33;25,47961426;0,077636719;191401724;101813;266;264;310;0,0754957065522098;0,230769230769231;318;0,0664858824619076;0,192307692307692;0;536
"548";21;112;23;114;25,47961426;53,31005859;191401724;247045695;266;941;1713;0,0833125809698594;0,12;1709;0,0757594825219684;0,12;0;548
"557";21;0;23;32;25,47961426;0,296875;191401724;0;266;662;350;0,0325704169602127;0,16;353;0,0286989617971851;0,16;0;557
"558";21;0;23;1;25,47961426;0,006835938;191401724;23656;266;16;270;0,305927701712778;0,590909090909091;272;0,254832982967203;0,454545454545455;0;558
"560";21;1;23;55;25,47961426;222,0068359;191401724;1232589939;266;1506;736;0,0650495140806564;0,16;738;0,0625364176991499;0,16;0;560
"561";21;29;23;71;25,47961426;0,123535156;191401724;10526;266;454;1080;0,0460023944441015;0,192307692307692;1078;0,0408935518552193;0,192307692307692;0;561
"570";21;0;23;9;25,47961426;0,006225586;191401724;27941;266;41;222;0,144999442040237;0,333333333333333;234;0,157623566567265;0,333333333333333;0;570
