"";"nrow1";"nrow2";"lengthcol1";"lengthcol2";"fk1";"fk2";"size1";"size2";"lv_schema";"cos_schema";"lv_tab";"cos_tab";"lv_col";"cos_col";"lv_type";"cos_type";"lv_null";"cos_null";"lv_fk";"cos_fk";"dist_nrow";"dist_length";"dist_lastused";"dist_size";"decisao"
"5480102";0;151;8;4;0;1;2048;2048;0;0;11;0,318614856130753;15;0,4375;6;0,798992436948158;1;1;1;1;106,773123959169;2,82842712474619;11145600;0;0
"5480103";0;151;8;4;0;0;2048;2048;0;0;11;0,318614856130753;16;0,271955992454387;6;0,798992436948158;1;1;0;0;106,773123959169;2,82842712474619;11145600;0;0
"5480104";0;2;8;2;0;1;2048;2048;0;0;11;0,484973797375395;16;0,5625;7;0,809307482150882;0;0;1;1;1,4142135623731;4,24264068711928;9849600;0;0
"5480105";0;2;8;4;0;0;2048;2048;0;0;11;0,484973797375395;16;0,593133264396632;6;0,798992436948158;1;1;0;0;1,4142135623731;2,82842712474619;9849600;0;0
"5480106";0;2;8;4;0;0;2048;2048;0;0;11;0,484973797375395;14;0,389699896594949;6;0,798992436948158;0;0;0;0;1,4142135623731;2,82842712474619;9849600;0;0
"5480107";0;2;8;4;0;0;2048;2048;0;0;11;0,484973797375395;15;0,393832105659635;6;0,798992436948158;0;0;0;0;1,4142135623731;2,82842712474619;9849600;0;0
"5480108";0;94;8;2;0;1;2048;2048;0;0;16;0,339774708226475;16;0,5625;7;0,809307482150882;1;1;1;1;66,4680374315355;4,24264068711928;11145600;0;0
"5480109";0;94;8;4;0;0;2048;2048;0;0;16;0,339774708226475;15;0,514637328302924;6;0,798992436948158;1;1;0;0;66,4680374315355;2,82842712474619;11145600;0;0
"5480110";0;94;8;4;0;0;2048;2048;0;0;16;0,339774708226475;13;0,40663389603607;6;0,798992436948158;1;1;0;0;66,4680374315355;2,82842712474619;11145600;0;0
"5480111";0;17079;8;10;0;0;2048;4608;0;0;13;0,42168506803376;17;0,882148869802242;8;0,832751597998582;1;1;0;0;12076,676715885;1,4142135623731;5270400;1810,19335983756;0
"5480112";0;17079;8;11;0;0;2048;4608;0;0;13;0,42168506803376;15;0,303790658775315;0;0;1;1;0;0;12076,676715885;2,12132034355964;5270400;1810,19335983756;0
"5480113";0;17079;8;4;0;0;2048;4096;0;0;16;0,50970966215454;16;0,693813782152103;6;0,798992436948158;0;0;0;0;12076,676715885;2,82842712474619;0;1448,15468787005;0
"5480114";0;17079;8;100;0;0;2048;4096;0;0;16;0,50970966215454;16;0,683772233983162;0;0;1;1;0;0;12076,676715885;65,0538238691624;0;1448,15468787005;0
"5480115";0;17079;8;1;0;0;2048;4096;0;0;16;0,50970966215454;17;0,273452257851129;0;0;0;0;0;0;12076,676715885;4,94974746830583;0;1448,15468787005;0
"5480116";0;2;8;4;0;0;2048;2048;0;0;7;0,555250410003339;17;0,811017763495386;6;0,798992436948158;1;1;0;0;1,4142135623731;2,82842712474619;6393600;0;0
"5480117";0;2;8;50;0;0;2048;2048;0;0;7;0,555250410003339;17;0,85826332262154;0;0;1;1;0;0;1,4142135623731;29,698484809835;6393600;0;0
"5480118";0;0;8;8;0;1;2048;2048;0;0;13;0,255791592464749;14;0,469669914110089;7;1;1;1;1;1;0;0;0;0;0
"5480119";0;0;8;8;0;0;2048;2048;0;0;13;0,255791592464749;15;0,384542545103336;7;1;1;1;0;0;0;0;0;0;0
"5480120";0;93;8;4;0;1;2048;2048;0;0;10;0,554600665916956;15;0,514637328302924;6;0,798992436948158;0;0;1;1;65,7609306503489;2,82842712474619;11145600;0;0
"5480121";0;93;8;4;0;0;2048;2048;0;0;10;0,554600665916956;17;0,644243763231057;6;0,798992436948158;0;0;0;0;65,7609306503489;2,82842712474619;11145600;0;0
"5480122";0;93;8;7;0;0;2048;2048;0;0;10;0,554600665916956;15;0,646446609406726;8;0,832751597998582;0;0;0;0;65,7609306503489;0,707106781186548;11145600;0;0
"5480123";0;93;8;7;0;0;2048;2048;0;0;10;0,554600665916956;15;0,381281566461771;8;0,832751597998582;0;0;0;0;65,7609306503489;0,707106781186548;11145600;0;0
