"";"acesso1";"acesso2";"qtdtabelas1";"qtdtabelas2";"tamgb1";"tamgb2";"qtdlinhas1";"qtdlinhas2";"qtdcolunas1";"qtdcolunas2";"lv_tabelas";"cos_tabelas";"jac_tabelas";"lv_schtab";"cos_schtab";"jac_schtab";"decisao";"id_schema"
"358";6;0;7;34;108,1806641;0,13671875;183421331;26741;346;204;471;0,15894378343491;0,181818181818182;470;0,155880786317795;0,181818181818182;0;358
"370";6;30;7;30;108,1806641;0,030273438;183421331;49;346;198;405;0,128070820308785;0,208333333333333;406;0,105888817104152;0,208333333333333;0;370
"371";6;0;7;4;108,1806641;0,017578125;183421331;0;346;35;67;0,22737359135899;0,35;75;0,225133215889942;0,363636363636364;0;371
"383";6;0;7;2;108,1806641;0,001953125;183421331;1522;346;9;73;0,218735479986245;0,380952380952381;77;0,184347918930155;0,333333333333333;0;383
"384";6;0;7;1;108,1806641;7,303710938;183421331;0;346;81;84;0,606908236799071;0,727272727272727;89;0,480152631185585;0,545454545454545;0;384
"400";6;6;7;9;108,1806641;0,016802619;183421331;6141;346;71;72;0,0899022215306586;0,19047619047619;80;0,0919678127493994;0,19047619047619;0;400
"401";6;0;7;9;108,1806641;0,013427734;183421331;157469;346;36;80;0,169060306693954;0,238095238095238;86;0,154821227327141;0,238095238095238;0;401
"405";6;60;7;233;108,1806641;23,05102539;183421331;75866302;346;1791;3768;0,0953476900432401;0,296296296296296;3772;0,088246810816401;0,296296296296296;0;405
"407";6;0;7;9;108,1806641;0,007202148;183421331;29129;346;46;89;0,194761537405589;0,2;97;0,200186109931545;0,2;0;407
"413";6;52;7;52;108,1806641;18,08862305;183421331;61922864;346;644;787;0,136873364205097;0,24;788;0,132624820713705;0,24;0;413
"423";0;1;3;5;0,005859375;110,0444336;0;324500732;234;257;41;0,407440538721517;0,388888888888889;50;0,326770908180624;0,5;0;423
"424";0;115;3;116;0,005859375;32,54589844;0;94950263;234;1550;1735;0,129703240999029;0,481481481481482;1732;0,104863028682197;0,428571428571429;0;424
"426";0;21;3;23;0,005859375;25,47961426;0;191401724;234;266;252;0,104455857015143;0,363636363636364;260;0,0783834306705896;0,304347826086957;0;426
"428";0;42;3;43;0,005859375;1,466552734;0;8037560;234;385;563;0,17090248062913;0,416666666666667;567;0,145429611661692;0,36;0;428
"440";0;0;3;5;0,005859375;0,004882813;0;0;234;78;30;0,199298158071852;0,235294117647059;35;0,173015793562028;0,263157894736842;0;440
"442";0;0;3;34;0,005859375;0,13671875;0;26741;234;204;515;0,130971546952885;0,333333333333333;513;0,104694394611056;0,272727272727273;0;442
"448";0;10;3;17;0,005859375;1,505371094;0;1572013;234;87;178;0,188486204710791;0,333333333333333;179;0,188659515804268;0,272727272727273;0;448
"452";0;2;3;33;0,005859375;0,077636719;0;101813;234;264;419;0,0975720814210538;0,416666666666667;420;0,0842269013241458;0,384615384615385;0;452
"455";0;0;3;4;0,005859375;0,017578125;0;0;234;35;37;0,163920382850059;0,444444444444444;46;0,168934398193914;0,454545454545455;0;455
"459";0;4;3;19;0,005859375;0,009277344;0;1;234;138;280;0,156349349265773;0,333333333333333;281;0,145305548858131;0,272727272727273;0;459
"468";0;0;3;1;0,005859375;7,303710938;0;0;234;81;30;0,592942518948173;0,722222222222222;34;0,426519613813877;0,571428571428571;0;468
"472";0;0;3;22;0,005859375;77,4609375;0;259709350;234;618;370;0,218566126812703;0,363636363636364;374;0,211765796836042;0,375;0;472
"481";0;0;3;3;0,005859375;0,001464844;0;0;234;12;48;0,189735456242948;0,235294117647059;51;0,177541653454635;0,35;0;481
